Season,ClubID,SalaryRecordID,FirstName,LastName,Nationality,BirthDate
2017/18,1,422,Josep,Guardiola,Spain,1971/1/18
2017/18,2,449,Jos,Mourinho,Portugal,1963/1/26
2017/18,3,450,Mauricio,Pochettino,Argentina,1973/3/2
2017/18,4,396,Jurgen,Klopp,Germany,1967/6/16
2017/18,5,368,Antonio,Conte,Italy,1969/7/31
2017/18,6,340,Arsene,Wenger,France,1949/10/22
2017/18,7,451,Sam,Allardyce,England,1954/10/19
2017/18,8,452,Paul,Clement,England,1972/1/8
2017/18,9,453,Paul,Lambert,Scotland,1969/8/7
2017/18,10,454,Darren,Moore,Jamaica,1974/4/22
2016/17,1,281,Josep,Guardiola,Spain,1971/1/18
2016/17,2,311,Jos,Mourinho,Portugal,1963/1/26
2016/17,3,455,Mauricio,Pochettino,Argentina,1973/3/2
2016/17,4,254,Jurgen,Klopp,Germany,1967/6/16
2016/17,5,221,Antonio,Conte,Italy,1969/7/31
2016/17,6,183,Arsene,Wenger,France,1949/10/22
2016/17,7,456,Ronald,Koeman,Netherlands,1963/3/21
2016/17,8,457,Paul,Clement,England,1972/1/8
2016/17,9,458,Mark,Hughes,Wales,1963/11/1
2016/17,10,459,Tony,Pulis,Wales,1958/1/16
2015/16,1,129,Manuel,Pellegrini,Chile,1953/9/16
2015/16,2,150,Louis,Gaal,Netherlands,1951/8/8
2015/16,3,460,Mauricio,Pochettino,Argentina,1973/3/2
2015/16,4,461,Jurgen,Klopp,Germany,1967/6/16
2015/16,5,76,Jos,Mourinho,Portugal,1963/1/26
2015/16,6,33,Arsene,Wenger,France,1949/10/22
2015/16,7,462,Roberto,Martinez,Spain,1973/7/13
2015/16,8,463,Francesco,Guidolin,Italy,1955/10/3
2015/16,9,464,Mark,Hughes,Wales,1963/11/1
2015/16,10,465,Tony,Pulis,Wales,1958/1/16
