FootballerID,Season,ClubID,SalaryRecordID,FirstName,LastName,Nationality,Position,BirthDate,Appearances,ShirtNumber
1,2017/18,1,415,Ederson,Moraes,Brazil,Goalkeeper,1993/8/17,36,31
2,2017/18,1,408,Kyle,Walker,England,Defender,1990/5/28,32,2
3,2017/18,1,466,Danilo,Silva,Brazil,Defender,1991/7/15,23,3
4,2017/18,1,467,Benjamin,Mendy,France,Defender,1994/7/17,7,22
5,2017/18,1,401,Vincent,Kompany,Belgium,Defender,1986/4/10,17,4
6,2017/18,1,407,John,Stones,England,Defender,1994/5/28,18,5
7,2017/18,1,413,Fabian,Delph,England,Defender,1989/11/21,22,18
8,2017/18,1,404,Nicolas,Otamendi,Argentina,Defender,1988/2/12,34,30
9,2017/18,1,402,Raheem,Sterling,England,Midfielder,1992/12/8,33,7
10,2017/18,1,403,Ilkay,Gundogan,Germany,Midfielder,1990/10/24,30,8
11,2017/18,1,399,Kevin,Bruyne,Belgium,Midfielder,1991/6/28,37,17
12,2017/18,1,398,Yaya,Toure,Cote D'Ivoire,Midfielder,1983/5/13,10,42
13,2017/18,1,468,Douglas,Luiz,Brazil,Midfielder,1988/5/9,0,
14,2017/18,1,410,Leroy,Sane,Germany,Midfielder,1996/1/11,32,19
15,2017/18,1,405,Bernardo,Silva,Portugal,Midfielder,1994/8/10,35,20
16,2017/18,1,400,David,Silva,Spain,Midfielder,1986/1/8,29,21
17,2017/18,1,406,Fernando,Roza,Brazil,Midfielder,1985/5/4,34,25
18,2017/18,1,397,Sergio,Aguero,Argentina,Forward,1988/6/2,25,10
19,2017/18,1,414,Gabriel,Jesus,Brazil,Forward,1997/4/3,29,33
20,2017/18,2,424,David,Gea,Spain,Goalkeeper,1990/11/7,37,1
21,2017/18,2,437,Eric,Bailly,Cote D'Ivoire,Defender,1994/4/12,13,3
22,2017/18,2,433,Marcos,Rojo,Argentina,Defender,1989/3/20,9,5
23,2017/18,2,440,Phil,Jones,England,Defender,1992/2/21,23,4
24,2017/18,2,443,Chris,Smalling,England,Defender,1989/11/22,29,12
25,2017/18,2,434,Luke,Shaw,England,Defender,1995/7/12,11,23
26,2017/18,2,423,Paul,Pogba,France,Midfielder,1993/3/15,27,6
27,2017/18,2,428,Victor,Lindel,Sweden,Midfielder,1994/7/17,17,2
28,2017/18,2,427,Juan,Mata,Spain,Midfielder,1988/4/28,28,8
29,2017/18,2,432,Anthony,Martial,France,Midfielder,1995/12/5,30,11
30,2017/18,2,441,Jesse,Lingard,England,Midfielder,1992/12/15,33,14
31,2017/18,2,435,Marouane,Fellaini,Belgium,Midfielder,1987/11/22,16,27
32,2017/18,2,430,Ashley,Young,England,Midfielder,1985/7/9,30,18
33,2017/18,2,431,Ander,Herrera,Spain,Midfielder,1989/8/14,26,21
34,2017/18,2,436,Antonio,Valencia,Ecuador,Midfielder,1985/8/4,31,25
35,2017/18,2,429,Nemanja,Matic,Serbia,Midfielder,1988/8/1,37,31
36,2017/18,2,425,Romelu,Lukaku,Belgium,Forward,1993/5/13,34,9
37,2017/18,2,445,Marcus,Rashford,England,Forward,1997/10/31,35,10
38,2017/18,4,388,Loris,Karius,Germany,Goalkeeper,1993/6/22,19,1
39,2017/18,4,382,Simon,Mignolet,Belgium,Goalkeeper,1988/3/6,19,22
40,2017/18,4,377,Virgil,Dijk,Netherlands,Defender,1991/7/8,14,4
41,2017/18,4,374,Dejan,Lovren,Croatia,Defender,1989/7/5,29,6
42,2017/18,4,469,Joe,Gomez,England,Defender,1997/5/23,23,12
43,2017/18,4,383,Ragnar,Klavan,Estonia,Defender,1985/10/30,19,17
44,2017/18,4,386,Alberto,Moreno,Spain,Defender,1992/7/5,16,18
45,2017/18,4,384,Andrew,Robertson,Scotland,Defender,1994/3/11,22,26
46,2017/18,4,375,Joel,Matip,Cameroon,Defender,1991/8/8,25,32
47,2017/18,4,470,Trent,Alexander-Arnold,England,Defender,1998/10/7,19,66
48,2017/18,4,379,Georginio,Wijnaldum,Netherlands,Midfielder,1990/11/11,33,5
49,2017/18,4,369,James,Milner,England,Midfielder,1986/1/4,32,7
50,2017/18,4,372,Roberto,Firmino,Brazil,Midfielder,1991/10/2,37,9
51,2017/18,4,471,Philippe,Coutinho,Brazil,Midfielder,1992/6/12,14,10
52,2017/18,4,371,Mohamed,Salah,Egypt,Midfielder,1992/6/15,36,11
53,2017/18,4,373,Jordan,Henderson,England,Midfielder,1990/6/17,27,14
54,2017/18,4,376,Sadio,Man,Senegal,Midfielder,1992/4/10,29,19
55,2017/18,4,381,Adam,Lallana,England,Midfielder,1988/5/10,12,20
56,2017/18,4,370,Alex,Oxlade-Chamberlain,England,Midfielder,1993/8/15,32,21
57,2017/18,4,385,Emre,Can,Germany,Midfielder,1994/1/12,26,23
58,2017/18,4,472,Daniel,Sturridge,England,Forward,1989/9/1,9,15
59,2017/18,4,378,Danny,Ings,England,Forward,1992/7/23,8,28
60,2017/18,4,473,Dominic,Solanke,England,Forward,1997/9/14,21,29
61,2017/18,5,344,Thibaut,Courtois,Belgium,Goalkeeper,1992/5/11,35,13
62,2017/18,5,353,Antonio,R_iger,Germany,Defender,1993/3/3,27,2
63,2017/18,5,354,Marcos,Alonso,Spain,Defender,1990/12/28,33,3
64,2017/18,5,347,David,Luiz,Brazil,Defender,1987/4/22,10,30
65,2017/18,5,350,Gary,Cahill,England,Defender,1985/12/19,27,24
66,2017/18,5,351,Daniel,Drinkwater,England,Defender,1990/3/5,12,
67,2017/18,5,362,Andreas,Christensen,Denmark,Defender,1996/4/10,27,27
68,2017/18,5,349,Cesar,Azpilicueta,Spain,Defender,1989/8/28,37,28
69,2017/18,5,343,Cesc,Fabregas,Spain,Midfielder,1987/5/4,32,4
70,2017/18,5,346,N'Golo,Kante,France,Midfielder,1991/3/29,34,7
71,2017/18,5,341,Eden,Hazard,Belgium,Midfielder,1991/1/7,34,10
72,2017/18,5,348,Tiemoue,Bakayoko,France,Midfielder,1994/8/17,29,14
73,2017/18,5,355,Victor,Moses,Nigeria,Midfielder,1990/12/12,28,15
74,2017/18,5,357,Davide,Zappacosta,Italy,Midfielder,1992/6/11,22,21
75,2017/18,5,345,Willian,Silva,Brazil,Midfielder,1988/8/9,36,22
76,2017/18,5,342,Alvaro,Morata,Spain,Forward,1992/10/23,31,9
77,2017/18,5,357,Olivier,Giroud,France,Forward,1986/9/30,13,18
78,2017/18,5,352,Pedro,Ledesma,Spain,Forward,1987/7/28,31,11
79,2017/18,6,321,Petr,Cech,Czech Republic,Goalkeeper,1982/5/20,34,1
80,2017/18,6,319,Hector,Bellerin,Spain,Defender,1995/3/19,35,2
81,2017/18,6,323,Laurent,Koscielny,France,Defender,1985/9/10,25,6
82,2017/18,6,329,Nacho,Monreal,Spain,Defender,1986/2/26,28,18
83,2017/18,6,325,Shkodran,Mustafi,Germany,Defender,1992/4/17,27,20
84,2017/18,6,318,Sead,Kolasinac,Bosnia And Herzegovina,Defender,1993/6/20,27,31
85,2017/18,6,314,Alexis,Sanchez,Chile,Midfielder,1988/12/19,19,7
86,2017/18,6,320,Santi,Cazorla,Spain,Midfielder,1984/12/13,0,
87,2017/18,6,317,Aaron,Ramsey,Wales,Midfielder,1990/12/26,24,8
88,2017/18,6,316,Henrikh,Mkhitaryan,Armenia,Midfielder,1989/1/21,11,
89,2017/18,6,326,Jack,Wilshere,England,Midfielder,1992/1/1,20,10
90,2017/18,6,313,Mesut,Ozil,Germany,Midfielder,1988/10/15,26,11
91,2017/18,6,333,Alex,Iwobi,Nigeria,Midfielder,1996/5/3,26,17
92,2017/18,6,474,Calum,Chambers,England,Midfielder,1995/1/20,12,21
93,2017/18,6,327,Granit,Xhaka,Switzerland,Midfielder,1992/9/27,38,34
94,2017/18,6,312,Alexandre,Lacazette,France,Forward,1991/5/28,32,9
95,2017/18,6,322,Pierre-Emerick,Aubameyang,Gabon,Forward,1989/6/18,13,14
96,2017/18,6,315,Danny,Welbeck,England,Forward,1990/11/26,28,23
97,2016/17,1,268,Claudio,Bravo,Chile,Goalkeeper,1983/4/13,22,1
98,2016/17,1,475,Wilfredo,Caballero,Argentina,Goalkeeper,1981/9/28,17,13
99,2016/17,1,476,Pablo,Zabaleta,Argentina,Defender,1985/1/16,20,5
100,2016/17,1,259,Vincent,Kompany,Belgium,Defender,1986/4/10,11,4
101,2016/17,1,271,Aleksandar,Kolarov,Serbia,Defender,1985/11/10,29,11
102,2016/17,1,477,Gael,Clichy,France,Defender,1985/7/26,25,22
103,2016/17,1,265,John,Stones,England,Defender,1994/5/8,27,24
104,2016/17,1,262,Nicolas,Otamendi,Argentina,Defender,1988/2/12,30,30
105,2016/17,1,260,Raheem,Sterling,England,Midfielder,1994/12/8,33,7
106,2016/17,1,478,Jesus,Navas,Spain,Midfielder,1985/11/21,24,15
107,2016/17,1,258,Kevin,Bruyne,Belgium,Midfielder,1991/6/28,36,17
108,2016/17,1,267,Leroy,San,Germany,Midfielder,1996/1/11,26,19
109,2016/17,1,257,David,Silva,Spain,Midfielder,1986/1/8,34,21
110,2016/17,1,263,Fernando,Roza,Brazil,Midfielder,1985/5/4,32,25
111,2016/17,1,256,Yaya,Tour,C_te d'Ivoire,Midfielder,1983/5/13,25,42
112,2016/17,1,255,Sergio,Aguero,Argentina,Forward,1988/6/2,31,10
113,2016/17,1,270,Gabriel,Jesus,Brazil,Forward,1997/4/3,10,33
114,2016/17,1,479,Kelechi,Iheanacho,Nigeria,Forward,1996/10/3,20,72
115,2016/17,2,285,David,Gea,Spain,Goalkeeper,1990/11/7,35,1
116,2016/17,2,295,Eric,Bailly,Cote D'Ivoire,Defender,1994/4/12,25,3
117,2016/17,2,298,Phil,Jones,England,Defender,1992/2/21,18,4
118,2016/17,2,291,Marcos,Rojo,Argentina,Defender,1990/3/20,21,5
119,2016/17,2,299,Chris,Smalling,England,Defender,1989/11/22,18,12
120,2016/17,2,297,Daley,Blind,Netherlands,Defender,1990/3/9,23,17
121,2016/17,2,292,Luke,Shaw,England,Defender,1995/7/12,11,23
122,2016/17,2,302,Matteo,Darmian,Italy,Defender,1989/12/2,18,36
123,2016/17,2,283,Paul,Pogba,France,Midfielder,1993/3/15,30,6
124,2016/17,2,286,Juan,Mata,Spain,Midfielder,1988/4/28,25,8
125,2016/17,2,290,Anthony,Martial,France,Midfielder,1995/12/5,25,11
126,2016/17,2,480,Jesse,Lingard,England,Midfielder,1992/12/15,25,14
127,2016/17,2,296,Michael,Carrick,England,Midfielder,1981/7/28,23,16
128,2016/17,2,288,Ashley,Young,England,Midfielder,1985/7/9,12,18
129,2016/17,2,289,Ander,Herrera,Spain,Midfielder,1989/8/14,29,21
130,2016/17,2,287,Henrikh,Mkhitaryan,Armenia,Midfielder,1989/1/21,24,22
131,2016/17,2,293,Marouane,Fellaini,Belgium,Midfielder,1987/11/22,28,27
132,2016/17,2,294,Antonio,Valencia,Ecuador,Midfielder,1985/8/4,28,25
133,2016/17,2,284,Zlatan,Ibrahimovic,Sweden,Forward,1981/10/3,28,9
134,2016/17,2,282,Wayne,Rooney,England,Forward,1985/10/24,25,10
135,2016/17,2,303,Marcus,Rashford,England,Forward,1997/10/31,32,19
136,2016/17,4,242,Loris,Karius,Germany,Goalkeeper,1993/6/22,10,1
137,2016/17,4,234,Simon,Mignolet,Belgium,Goalkeeper,1988/3/6,28,22
138,2016/17,4,232,Nathaniel,Clyne,England,Defender,1991/4/5,37,2
139,2016/17,4,233,Dejan,Lovren,Croatia,Defender,1989/7/5,29,6
140,2016/17,4,235,Ragnar,Klavan,Estonia,Defender,1985/10/30,20,17
141,2016/17,4,227,Joel,Matip,Germany,Defender,1991/8/8,29,32
142,2016/17,4,231,Georginio,Wijnaldum,Netherlands,Midfielder,1990/11/11,36,5
143,2016/17,4,223,James,Milner,England,Midfielder,1986/1/4,36,7
144,2016/17,4,222,Philippe,Coutinho,Brazil,Midfielder,1992/6/12,31,10
145,2016/17,4,225,Roberto,Firmino,Brazil,Midfielder,1991/10/2,35,11
146,2016/17,4,226,Jordan,Henderson,England,Midfielder,1990/6/17,24,14
147,2016/17,4,228,Sadio,Man,Senegal,Midfielder,1992/4/10,27,19
148,2016/17,4,240,Adam,Lallana,England,Midfielder,1988/5/10,31,20
149,2016/17,4,230,Lucas,Leiva,Brazil,Midfielder,1987/1/9,24,21
150,2016/17,4,236,Emre,Can,England,Midfielder,1994/1/12,32,23
151,2016/17,4,224,Daniel,Sturridge,England,Forward,1989/9/1,20,15
152,2016/17,4,241,Divock,Origi,Belgium,Forward,1995/4/18,34,27
153,2016/17,5,190,Thibaut,Courtois,Belgium,Goalkeeper,1992/5/11,36,13
154,2016/17,5,189,Branislav,Ivanovic,Serbia,Defender,1984/2/22,13,2
155,2016/17,5,197,Marcos,Alonso,Spain,Defender,1990/12/28,32,3
156,2016/17,5,195,Gary,Cahill,England,Defender,1985/12/19,37,24
157,2016/17,5,188,John,Terry,England,Defender,1980/12/7,9,26
158,2016/17,5,194,Cesar,Azpilicueta,Spain,Defender,1989/8/28,38,28
159,2016/17,5,193,David,Luiz,Brazil,Defender,1987/4/22,33,30
160,2016/17,5,186,Cesc,fabregas,Spain,Midfielder,1987/5/4,29,4
161,2016/17,5,192,N'Golo,Kant,France,Midfielder,1991/3/29,35,7
162,2016/17,5,187,Oscar,Junior,Brazil,Midfielder,1991/9/9,9,8
163,2016/17,5,184,Eden,Hazard,Belgium,Midfielder,1991/1/7,36,10
164,2016/17,5,200,Victor,Moses,Nigeria,Midfielder,1990/12/12,34,15
165,2016/17,5,199,Nemanja,Matic,Serbia,Midfielder,1988/8/1,35,21
166,2016/17,5,191,Willian,Silva,Brazil,Midfielder,1988/8/9,34,22
167,2016/17,5,196,Pedro,Ledesma,Spain,Forward,1987/7/28,35,11
168,2016/17,5,185,Diego,Costa,Spain,Forward,1988/10/7,35,19
169,2016/17,5,198,Michy,Batshuayi,Belgium,Forward,1993/10/2,20,23
170,2016/17,6,157,Petr,Cech,Czech Republic,Goalkeeper,1982/5/20,35,33
171,2016/17,6,171,Kieran,Gibbs,England,Defender,1989/9/26,11,3
172,2016/17,6,170,Gabriel,Paulista,Brazil,Defender,1990/11/26,19,5
173,2016/17,6,158,Laurent,Koscielny,France,Defender,1985/9/10,33,6
174,2016/17,6,159,Per,Mertesacker,Germany,Defender,1984/9/29,1,4
175,2016/17,6,164,Nacho,Monreal,Spain,Defender,1986/2/26,36,18
176,2016/17,6,160,Shkodran,Mustafi,Germany,Defender,1992/4/17,26,20
177,2016/17,6,169,Hector,Bellerin,Spain,Defender,1995/3/19,33,24
178,2016/17,6,152,Alexis,Sanchez,Chile,Midfielder,1988/12/19,38,7
179,2016/17,6,156,Santi,Cazorla,Spain,Midfielder,1984/12/13,8,19
180,2016/17,6,155,Aaron,Ramsey,Wales,Midfielder,1990/12/26,23,8
181,2016/17,6,151,Mesut,ozil,Germany,Midfielder,1988/10/15,33,11
182,2016/17,6,153,Theo,Walcott,England,Midfielder,1989/3/16,28,14
183,2016/17,6,165,Alex,Oxlade-Chamberlain,England,Midfielder,1993/8/15,29,15
184,2016/17,6,176,Alex,Iwobi,Nigeria,Midfielder,1996/5/3,26,17
185,2016/17,6,161,Granit,Xhaka,Switzerland,Midfielder,1992/9/27,32,29
186,2016/17,6,166,Francis,Coquelin,France,Midfielder,1991/5/13,29,34
187,2016/17,6,167,Mohamed,Elneny,Egypt,Midfielder,1992/7/11,14,35
188,2016/17,6,168,Olivier,Giroud,France,Forward,1986/9/30,29,12
189,2016/17,6,154,Danny,Welbeck,England,Forward,1990/11/26,16,23
190,2015/16,1,114,Joe,Hart,England,Goalkeeper,1987/4/19,35,1
191,2015/16,1,481,Bacary,Sagna,France,Defender,1983/2/14,28,3
192,2015/16,1,110,Vincent,Kompany,Belgium,Defender,1986/4/10,14,4
193,2015/16,1,482,Pablo,Zabaleta,Argentina,Defender,1985/1/16,13,5
194,2015/16,1,121,Jason,Denayer,Belgium,Defender,1995/6/28,0,
195,2015/16,1,120,Aleksandar,Kolarov,Serbia,Defender,1985/11/10,29,11
196,2015/16,1,119,Fabian,Delph,England,Defender,1989/11/21,17,18
197,2015/16,1,117,Eliaquim,Mangala,France,Defender,1991/2/13,23,20
198,2015/16,1,483,Gael,Clichy,France,Defender,1985/7/26,14,22
199,2015/16,1,484,Martin,Demichelis,Argentina,Defender,1980/11/20,20,26
200,2015/16,1,113,Nicolas,Otamendi,Argentina,Defender,1988/2/12,30,30
201,2015/16,1,118,Fernando,Reges,Brazil,Midfielder,1987/7/25,24,6
202,2015/16,1,122,Bruno,Zuculini,Argentina,Midfielder,1993/4/2,0,
203,2015/16,1,112,Raheem,Sterling,England,Midfielder,1994/12/8,31,7
204,2015/16,1,111,Samir,Nasri,France,Midfielder,1987/6/26,12,8
205,2015/16,1,485,Jesus,Navas,Spain,Midfielder,1985/11/21,34,15
206,2015/16,1,109,Kevin,Bruyne,Belgium,Midfielder,1991/6/28,25,17
207,2015/16,1,108,David,Silva,Spain,Midfielder,1986/1/8,25,21
208,2015/16,1,116,Fernando,Roza,Brazil,Midfielder,1985/5/4,33,25
209,2015/16,1,124,Patrick,Roberts,England,Midfielder,1997/2/5,1,
210,2015/16,1,107,Yaya,Tour,C_te d'Ivoire,Midfielder,1993/5/13,32,42
211,2015/16,1,115,Wilfried,Bony,C_te d'Ivoire,Forward,1988/12/10,26,14
212,2015/16,1,123,Rubern,Sobrino,Spain,Forward,1992/6/1,0,
213,2015/16,1,106,Sergio,Aguero,Argentina,Forward,1988/6/2,30,10
214,2015/16,1,486,Kelechi,Iheanacho,Nigeria,Forward,1996/10/3,26,72
215,2015/16,2,131,David,Gea,Spain,Goalkeeper,1990/11/7,34,1
216,2015/16,2,143,Sergio,Romero,Argentina,Goalkeeper,1987/2/22,4,22
217,2015/16,2,141,Phil,Jones,England,Defender,1992/2/21,10,4
218,2015/16,2,136,Marcos,Rojo,Argentina,Defender,1989/3/20,16,5
219,2015/16,2,142,Chris,Smalling,England,Defender,1989/11/22,35,12
220,2015/16,2,140,Daley,Blind,Netherlands,Defender,1990/3/9,35,17
221,2015/16,2,137,Luke,Shaw,England,Defender,1995/7/12,5,23
222,2015/16,2,487,Paddy,McNair,Northern Ireland,Defender,1995/4/27,8,33
223,2015/16,2,145,Matteo,Darmian,Italy,Defender,1989/12/2,28,36
224,2015/16,2,488,Timothy,Fosu-Mensah,Netherlands,Defender,1998/1/2,8,51
225,2015/16,2,132,Juan,Mata,Spain,Midfielder,1988/4/28,38,8
226,2015/16,2,146,Andreas,Pereir,Brazil,Midfielder,1996/1/1,4,15
227,2015/16,2,135,Anthony,Martial,France,Midfielder,1995/12/5,32,9
228,2015/16,2,144,Adnan,Januzaj,Belgium,Midfielder,1995/2/5,5,
